#ZVView-data-copy:  31-Mar-2018 16:38:45
#=======================================
#
#name:   IRDFF-1.05: AU-197(N,G)AU-198
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  40692
#data...
#            X            Y
#          MeV        barns
     9.4191e-6       5.8369
    9.53937e-6      5.51717
    9.66116e-6      5.21901
    9.78452e-6      4.94075
    9.95144e-6      4.59812
    1.01212e-5      4.28455
    1.02939e-5      3.99709
    1.04695e-5      3.73333
    1.06481e-5      3.49101
    1.08298e-5      3.26793
    1.10379e-5      3.03775
    1.12262e-5      2.84998
    1.14418e-5      2.65568
    1.16617e-5      2.47769
    1.18606e-5       2.3321
     1.2063e-5      2.19699
    1.22688e-5      2.07139
    1.24781e-5      1.95469
     1.2691e-5      1.84616
    1.29075e-5      1.74513
    1.31277e-5        1.651
    1.33799e-5      1.55275
    1.36081e-5      1.47191
    1.38989e-5      1.37785
     1.4166e-5      1.29961
    1.44077e-5      1.23475
    1.47156e-5      1.15965
     1.4935e-5      1.11044
    1.52219e-5      1.05124
    1.55472e-5     0.990319
    1.58459e-5     0.939541
    1.61846e-5     0.886952
    1.65304e-5     0.838271
    1.69195e-5     0.788863
    1.71717e-5     0.759379
    1.75017e-5     0.723771
    1.78379e-5     0.690483
    1.81807e-5     0.659331
    1.84908e-5     0.633288
    1.88461e-5     0.605788
    1.91676e-5     0.582777
    1.95359e-5     0.558452
    2.00803e-5     0.525937
    2.05529e-5     0.500705
    2.11256e-5     0.473287
    2.17145e-5     0.448328
    2.25569e-5      0.41741
    2.31855e-5     0.397346
    2.38821e-5     0.377784
    2.45478e-5     0.361326
    2.52318e-5      0.34641
    2.59351e-5     0.332932
    2.66579e-5     0.320799
    2.72853e-5     0.311518
    2.79865e-5     0.302412
    2.89495e-5     0.291752
    2.97563e-5     0.284416
    3.08455e-5      0.27648
    3.15046e-5     0.272725
    3.22459e-5       0.2694
    3.32148e-5      0.26638
    3.42127e-5     0.264844
    3.46991e-5     0.264602
    3.57927e-5     0.265593
    3.66351e-5     0.267705
    3.75765e-5     0.271536
    3.85422e-5     0.277251
    3.94491e-5     0.284499
    4.02921e-5     0.293081
    4.10664e-5     0.302868
    4.16786e-5     0.312148
    4.23897e-5     0.325041
    4.29309e-5     0.336875
    4.33414e-5     0.347427
    4.37559e-5     0.360017
    4.41275e-5     0.373768
    4.43848e-5     0.385364
    4.45964e-5     0.396852
    4.47618e-5     0.407651
     4.4904e-5     0.418761
    4.50348e-5     0.431071
     4.5142e-5     0.443258
    4.52496e-5     0.458134
    4.53453e-5     0.474484
    4.54173e-5     0.489463
    4.54834e-5     0.505915
    4.55375e-5     0.521893
    4.55917e-5     0.540887
      4.564e-5     0.561013
    4.56882e-5     0.585095
    4.57244e-5     0.606483
    4.57607e-5     0.631557
    4.57879e-5     0.653371
    4.58152e-5     0.678317
    4.58425e-5      0.70709
    4.58697e-5     0.740601
     4.5894e-5     0.775348
    4.59121e-5     0.805176
