#ZVView-data-copy: 18-Nov-2018 22:52:37																																																																																											
																																														
#																																														
#MT102:LB5:Symmetric Matrix																																														
Z(45x45): Zi,j = Cor(σXi,σYj)*100																																														
	X (MeV)																																													
Y(MeV)	5.50E-07	1.40E-05	2.50E-05	0.00016	0.00021	0.00024	0.00028	0.001	0.002	0.0032	0.0051453	0.0085	0.012339	0.018111	0.039019	0.057273	0.084065	0.11295	0.14219	0.17901	0.22536	0.28371	0.35717	0.44965	0.56607	0.71264	0.89716	1.1295	1.4219	1.7901	2.2536	2.8371	3.5717	4.4965	5.6607	7.1264	8.9716	11.295	14.219	17.901	22.536	28.371	35.717	44.965	60	j
2.8371	0	0	0	0	0	0	0	0	0	0	0	10.41	10.43	14.77	15.91	14.98	13.09	14.49	15.23	15.19	15.54	12.97	15.01	16.21	14.97	12.44	8.739	19.1	34.04	51.07	72.72	100	84.32	79.81	71.07	64.67	36.66	14.43	7.823	13.91	20.29	20.11	21.86	22.64	22.64	32
3.5717	0	0	0	0	0	0	0	0	0	0	0	7.623	7.596	11.18	12.49	11.79	10.55	12.1	12.92	12.94	13.11	11.06	12.3	13.55	12.72	10.11	6.471	10.25	25.49	43.9	69.64	84.32	100	85.33	78.99	73.05	39.12	12.89	5.951	14.82	24.54	25.55	28.5	29.88	29.88	33
4.4965	0	0	0	0	0	0	0	0	0	0	0	5.904	5.654	9.126	10.73	10.1	8.627	10.71	12.47	12.72	12.85	11.02	11.71	13.05	12.58	10.12	6.571	9.616	23.5	40.26	64.87	79.81	85.33	100	72.56	65.82	33.61	8.116	2.144	11.17	21.28	23.09	26.71	28.33	28.33	34
5.6607	0	0	0	0	0	0	0	0	0	0	0	2.805	2.583	4.114	5.006	4.707	3.923	4.837	6.551	6.839	6.915	5.299	6.217	7.119	6.204	4.783	3.109	-3.618	10.35	27.14	52.57	71.07	78.99	72.56	100	93.23	55.81	21.18	11.48	25.67	40.84	41.71	46.01	47.97	47.97	35
7.1264	0	0	0	0	0	0	0	0	0	0	0	2.288	4.517	3.511	3.338	3.173	4.368	3.862	0.8632	0.5134	0.2726	3.178	-0.2295	0.06887	2.513	0.1476	-1.986	-9.279	4.308	21.46	46.25	64.67	73.05	65.82	93.23	100	68.55	36.22	26.48	39.47	51.45	49.69	50.99	51.43	51.43	36
8.9716	0	0	0	0	0	0	0	0	0	0	0	-2.523	1.648	-1.573	-1.756	-1.617	1.431	2.351	-3.175	-3.391	-3.714	3.7	-4.817	-4.949	0.2586	-3.275	-6.528	0.3492	5.737	14.83	27.66	36.66	39.12	33.61	55.81	68.55	100	76.62	70.19	70.79	62.76	51.6	41.08	35.36	35.36	37
11.295	0	0	0	0	0	0	0	0	0	0	0	-1.752	2.047	-0.8076	-1.105	-0.921	2.66	3.097	-2.818	-3.167	-3.439	1.839	-4.344	-4.814	-2.121	-6.873	-12.08	13	9.524	10.72	13.57	14.43	12.89	8.116	21.18	36.22	76.62	100	89.02	82.39	62.47	46.34	29.22	20.2	20.2	38
14.219	0	0	0	0	0	0	0	0	0	0	0	-1.702	2.131	-0.4663	-0.5994	-0.4247	3.126	3.739	-2.535	-3.011	-3.324	2.392	-4.283	-4.769	-1.49	-6.323	-12.07	17.59	10.7	8.834	8.855	7.823	5.951	2.144	11.48	26.48	70.19	89.02	100	86.07	67.16	51.99	34.57	25.18	25.18	39
17.901	0	0	0	0	0	0	0	0	0	0	0	-1.437	1.767	-0.3491	-0.2639	-0.07334	2.966	3.622	-2.045	-2.632	-2.981	2.572	-3.841	-4.153	-0.4497	-4.867	-10.6	15.58	8.765	7.636	11.1	13.91	14.82	11.17	25.67	39.47	70.79	82.39	86.07	100	86.94	77.07	63.75	55.8	55.8	40
22.536	0	0	0	0	0	0	0	0	0	0	0	-0.8411	1.261	-0.1662	0.01952	0.202	2.204	2.639	-1.559	-2.178	-2.512	2.1	-3.081	-3.186	0.4899	-2.733	-7.354	9.138	4.59	5.332	12.92	20.29	24.54	21.28	40.84	51.45	62.76	62.47	67.16	86.94	100	94.9	88.75	83.93	83.93	41
28.371	0	0	0	0	0	0	0	0	0	0	0	-0.4222	0.96	0.006018	0.2181	0.3787	1.691	2.009	-1.2	-1.813	-2.12	1.787	-2.471	-2.452	1.102	-1.232	-4.92	5.922	2.339	3.29	11.57	20.11	25.55	23.09	41.71	49.69	51.6	46.34	51.99	77.07	94.9	100	96.81	93.92	93.92	42
35.717	0	0	0	0	0	0	0	0	0	0	0	-0.1475	0.4022	-0.02876	0.2315	0.3661	0.884	1.08	-0.7857	-1.308	-1.551	1.302	-1.669	-1.513	1.567	0.2651	-2.205	1.351	-0.1767	1.913	11.68	21.86	28.5	26.71	46.01	50.99	41.08	29.22	34.57	63.75	88.75	96.81	100	99.1	99.1	43
44.965	0	0	0	0	0	0	0	0	0	0	0	-0.06793	0.09235	-0.09414	0.1819	0.3028	0.4334	0.5678	-0.6348	-1.096	-1.298	1.045	-1.297	-1.088	1.743	0.9883	-0.7881	-1.185	-1.443	1.34	11.8	22.64	29.88	28.33	47.97	51.43	35.36	20.2	25.18	55.8	83.93	93.92	99.1	100	99.1	44
60	0	0	0	0	0	0	0	0	0	0	0	-0.06793	0.09235	-0.09414	0.1819	0.3028	0.4334	0.5678	-0.6348	-1.096	-1.298	1.045	-1.297	-1.088	1.743	0.9883	-0.7881	-1.185	-1.443	1.34	11.8	22.64	29.88	28.33	47.97	51.43	35.36	20.2	25.18	55.8	83.93	93.92	99.1	99.1	100	45
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	
