#ZVView-data-copy: 18-Nov-2018 22:54:07																																																							
																																																																																																														
#																																																							
#MT107:LB5:Symmetric Matrix																																																							
Z(54x54): Zi,j = Cor(σXi,σYj)*100																																																							
	X (MeV)																																																						
Y(MeV)	3.24926	6	6.5	6.75	7	7.25	7.5	7.75	8	8.25	8.5	8.75	9	9.25	9.5	9.75	10	10.25	10.5	10.75	11	11.25	11.5	11.75	12	12.5	13	13.5	13.75	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	18.5	19	19.5	20	22.5	25	30	34	35	40	42	50	60	j
11.75	-6.135	16.43	15.5	20.06	20.76	21.77	24.65	28.37	31.56	32.53	31.64	30.58	30.59	32.19	35.46	40.3	46.58	54.17	62.9	72.43	82.1	90.86	97.31	100	92.8	61.95	24.37	12.17	18.95	20.18	15.56	9.161	5.78	6.675	12.08	17.43	18.37	15.52	10.65	5.768	2.06	-0.1555	-1.018	-0.8401	2.538	6.538	2.972	-0.9712	-0.9544	1.195	0	0	0	0	24
12	-12.84	17.17	11.67	18.58	22.34	20.49	19.6	23.13	29.1	33.71	35.28	34.58	32.83	30.87	29.44	29.29	30.99	34.88	41.09	49.53	59.86	71.38	82.92	92.8	100	84.67	45.37	10.7	10.9	18.04	19.35	14.16	6.883	2.955	4.575	11.08	16.26	17.88	16.15	12.54	8.53	5.004	2.315	0.5301	-0.3235	2.191	2.704	-0.1819	-0.1787	0.4845	0	0	0	0	25
12.5	-7.187	14.09	8.082	13.01	18.63	17.2	13.86	14.89	20.22	26.47	30.89	32.84	32.53	30.26	26.6	22.53	19.14	17.29	17.6	20.52	26.41	35.47	47.56	61.95	84.67	100	79.31	19.98	-2.643	5.931	18.04	22.05	15.56	6.178	-1.791	-0.3052	7.261	15.1	20.18	21.74	20.52	17.58	13.78	9.759	0.7556	-4.534	-0.08028	1.263	1.241	-0.6898	0	0	0	0	26
13	7.9	7.667	7.805	7.221	9.905	12.43	11.84	10.64	11.33	13.97	17.6	21.32	24.39	26.09	25.93	24	20.87	17.28	13.89	11.34	10.32	11.6	16.05	24.37	45.37	79.31	100	58.86	9.844	0.7887	12.63	27.1	31.76	26.64	14.8	7.308	8.756	14.36	20.29	24.31	25.85	25.19	22.86	19.44	8.262	-3.483	-2.26	1.464	1.438	-0.5781	0	0	0	0	27
13.5	4.541	4.289	6.311	5.837	5.318	7.5	9.479	9.774	9.223	8.588	8.558	9.499	11.35	13.74	16.18	18.22	19.66	20.45	20.61	20.11	18.91	17.04	14.64	12.17	10.7	19.98	58.86	100	75.48	47.13	34.34	33.01	36.92	39.53	39.54	36.24	32.41	28.22	23.99	20.28	17.37	15.17	13.48	12.1	9.046	4.674	0.7637	-0.07793	-0.07658	0.8357	0	0	0	0	28
13.75	-6.44	5.098	2.95	5.675	6.739	5.797	5.61	6.961	8.776	9.775	9.631	8.845	7.984	7.448	7.504	8.286	9.788	11.9	14.42	17.08	19.47	21.01	21.06	18.95	10.9	-2.643	9.844	75.48	100	88.31	68.48	47.03	31.07	24.17	25.12	30.19	32.57	30.77	25.82	19.74	14.11	9.577	6.268	4.056	2.215	2.981	2.236	-0.1865	-0.1832	0.601	0	0	0	0	29
14	-5.779	5.344	2.097	4.763	7.263	6.161	4.58	5.143	7.348	9.573	10.76	10.85	10.14	8.957	7.684	6.721	6.392	6.87	8.2	10.32	13.04	16.02	18.66	20.18	18.04	5.931	0.7887	47.13	88.31	100	91.09	68.43	40.47	20.67	10.27	13.16	19.87	24.31	25.09	22.96	19.3	15.16	11.15	7.594	1.279	-1.493	0.7203	0.577	0.567	-0.1609	0	0	0	0	30
14.2	1.199	4.329	3.127	3.728	5.884	6.533	5.562	5.052	5.898	7.585	9.347	10.75	11.6	11.75	11.18	10.12	8.895	7.869	7.305	7.4	8.294	10.05	12.58	15.56	19.35	18.04	12.63	34.34	68.48	91.09	100	89.05	63.26	37.4	14.75	8.175	12.53	18.8	23.34	25.05	24.35	22.03	18.75	15.04	5.543	-2.543	-0.9971	1.029	1.011	-0.3717	0	0	0	0	31
14.4	7.146	2.727	4.432	3.08	3.591	5.936	6.702	5.85	5.058	5.158	6.275	8.109	10.2	12.03	13.14	13.35	12.75	11.61	10.21	8.811	7.696	7.171	7.566	9.161	14.16	22.05	27.1	33.01	47.03	68.43	89.05	100	88.47	67.44	39.56	22.1	18.25	19.55	22.01	23.72	24.16	23.35	21.55	19.04	10.73	0.7426	-1.214	0.7678	0.7545	0.1537	0	0	0	0	32
14.6	6.405	1.755	4.571	3.163	2.145	4.473	6.498	6.383	5.193	4.1	3.916	4.846	6.66	8.915	11.08	12.71	13.61	13.76	13.25	12.16	10.6	8.757	6.979	5.78	6.883	15.56	31.76	36.92	31.07	40.47	63.26	88.47	100	91.87	70.65	48.7	36.07	28.25	23.26	20.2	18.37	17.19	16.25	15.3	11.95	5.712	0.4817	-0.009387	-0.009225	0.9926	0	0	0	0	33
14.8	0.5498	1.923	3.536	3.681	2.319	3.172	5.116	6.1	5.844	4.774	3.705	3.288	3.76	5.068	6.953	9.051	11.02	12.64	13.72	14.11	13.63	12.15	9.723	6.675	2.955	6.178	26.64	39.53	24.17	20.67	37.4	67.44	91.87	100	90.39	71.76	55.09	40.14	27.62	18.44	12.6	9.38	7.946	7.601	8.759	8.448	2.616	-0.6496	-0.6384	1.48	0	0	0	0	34
15	-9.474	3.481	1.462	4.564	4.464	2.574	2.782	4.895	6.894	7.383	6.325	4.559	2.907	1.946	2.027	3.209	5.295	7.957	10.82	13.48	15.44	16.15	15.12	12.08	4.575	-1.791	14.8	39.54	25.12	10.27	14.75	39.56	70.65	90.39	100	92.39	78.04	59.65	40.56	24.27	12.34	4.63	0.3381	-1.437	1.067	6.959	4.472	-0.8254	-0.8111	1.285	0	0	0	0	35
