#ZVView-data-copy: 18-Nov-2018 22:48:53																																																						
																																																																																																				
#																																																						
#MT102:LB5:Symmetric Matrix																																																						
Z(53x53): Zi,j = Cor(σXi,σYj)*100																																																						
	X (MeV)																																																					
Y(MeV)	2.00E-08	1.00E-07	5.50E-07	4.39E-06	1.39E-05	4.39E-05	7.81E-05	0.0001389	0.000247	0.0004393	0.0007812	0.001234	0.001811	0.002658	0.003902	0.0045	0.00572726	0.00840646	0.012339	0.0181112	0.0265836	0.0390194	0.0572726	0.0840646	0.125	0.14219	0.17901	0.22536	0.28371	0.35717	0.44965	0.56607	0.71264	0.89716	1.1295	1.4219	1.7901	2.2536	2.8371	3.5717	4.4965	5.6607	7.1264	8.9716	11.295	14.219	17.901	22.536	28.371	35.717	44.965	56.607	60	j
0.22536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.22	98.39	98.48	100	98.51	98.5	98.47	98.43	98.31	98.14	97.74	96.78	96.03	94.94	93.75	91.23	84.44	67.22	58.44	55.88	55.99	56.65	59.28	59.2	45	43.87	40.25	37.25	37.25	28
0.28371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.12	98.34	98.45	98.51	100	98.54	98.52	98.49	98.38	98.21	97.86	96.97	96.28	95.27	94.14	91.64	84.83	67.53	58.71	56.13	56.23	56.87	59.43	59.28	45.17	44.04	40.39	37.39	37.39	29
0.35717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.04	98.31	98.42	98.5	98.54	100	98.57	98.56	98.47	98.31	98.01	97.18	96.54	95.59	94.51	92.06	85.24	67.85	58.99	56.39	56.46	57.09	59.59	59.37	45.37	44.23	40.57	37.59	37.59	30
0.44965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.93	98.23	98.37	98.47	98.52	98.57	100	98.6	98.54	98.4	98.17	97.42	96.82	95.92	94.88	92.51	85.7	68.24	59.35	56.71	56.77	57.4	59.82	59.5	45.62	44.47	40.78	37.81	37.81	31
0.56607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.82	98.16	98.31	98.43	98.49	98.56	98.6	100	98.62	98.5	98.36	97.69	97.14	96.26	95.26	92.99	86.22	68.67	59.74	57.07	57.12	57.73	60.07	59.67	45.94	44.79	41.06	38.11	38.11	32
0.71264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.61	98	98.17	98.31	98.38	98.47	98.54	98.62	100	98.56	98.52	97.95	97.45	96.6	95.63	93.49	86.77	69.13	60.16	57.45	57.47	58.05	60.29	59.76	46.21	45.04	41.3	38.37	38.37	33
0.89716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.56	97.88	98.03	98.14	98.21	98.31	98.4	98.5	98.56	100	98.73	98.21	97.73	96.85	95.86	93.74	87.14	69.58	60.62	57.91	57.94	58.56	60.81	60.34	46.84	45.72	42.06	39.24	39.24	34
1.1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.83	97.34	97.55	97.74	97.86	98.01	98.17	98.36	98.52	98.73	100	98.79	98.52	97.84	97.02	95.21	88.7	70.94	61.88	59.05	59	59.54	61.46	60.63	47.67	46.49	42.7	39.89	39.89	35
1.4219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.53	96.25	96.53	96.78	96.97	97.18	97.42	97.69	97.95	98.21	98.79	100	99.14	98.71	98.09	96.48	89.97	72	62.83	59.89	59.76	60.23	61.87	60.76	48.29	47.09	43.25	40.53	40.53	36
1.7901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.52	95.39	95.72	96.03	96.28	96.54	96.82	97.14	97.45	97.73	98.52	99.14	100	99.17	98.75	97.28	90.74	72.61	63.39	60.37	60.17	60.6	62.02	60.72	48.71	47.51	43.65	41	41	37
