#ZVView-data-copy: 18-Nov-2018 22:41:39																																																																																							
																																																																																																																																																																													
#																																																																																							
#IRDFF-1.05: IN-115(N,G)In-116N																																																																																							
Z(86x86): Zi,j = Cor(σXi,σYj)*100																																																																																							
	X (MeV)																																																																																						
Y(MeV)	1.00E-10	1.00E-09	1.00E-08	2.00E-08	3.00E-08	5.60E-08	1.00E-07	3.00E-07	5.60E-07	1.00E-06	2.00E-06	3.00E-06	4.00E-06	4.70E-06	5.00E-06	6.00E-06	8.00E-06	1.00E-05	1.60E-05	2.50E-05	4.00E-05	6.30E-05	0.0001	0.0001275	0.00016	0.00018	0.0002	0.000235	0.000265	0.000315	0.0004	0.000525	0.00072	0.001	0.00125	0.0016	0.002	0.003	0.004	0.006	0.008	0.01	0.015	0.02	0.03	0.04	0.05	0.06	0.08	0.1	0.15	0.2	0.3	0.4	0.5	0.6	0.7	0.8	1	1.2	1.4	1.6	1.8	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	9	10	11	12	13	14	15	16	18	20	j
0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.95	50.57	61.72	80	89.94	95.96	98.37	99.49	100	99.46	97.85	93.95	86.74	74.1	57.59	40.79	25.4	16.62	11.78	9.127	7.696	6.776	6.354	6.123	5.76	5.201	4.436	2.824	0.4102	-0.7794	-0.8659	-0.3366	0.4372	1.191	1.792	2.209	2.447	2.514	2.392	1.788	0.3774	-0.3856	0.5188	1.53	1.466	0.2632	-0.6916	-0.6893	0.4665	0.4665	45
0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.04	53.4	63.25	79.82	88.71	94.06	96.35	97.97	99.46	100	99.46	96.96	91.3	80.25	64.61	47.22	29.79	18.98	12.63	8.946	6.853	5.474	5.094	5.333	5.557	5.514	5.113	3.654	0.7669	-1.042	-1.457	-0.9442	0.03502	1.099	2.02	2.715	3.172	3.383	3.321	2.589	0.6294	-0.5649	0.6545	2.159	2.141	0.4079	-1.025	-1.067	0.6462	0.6462	46
0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.73	56.57	65.07	79.57	87.12	91.49	93.48	95.46	97.85	99.46	100	98.97	95	85.79	71.37	53.77	34.6	21.9	14.06	9.319	6.506	4.546	4.019	4.551	5.228	5.623	5.554	4.292	1.093	-1.215	-1.922	-1.456	-0.3355	0.9656	2.141	3.064	3.703	4.041	4.038	3.221	0.8395	-0.7055	0.7499	2.647	2.674	0.5255	-1.288	-1.371	0.7857	0.7857	47
0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.11	60.58	67.17	78.47	83.91	86.7	88.08	90.43	93.95	96.96	98.97	100	98.47	92.09	79.86	62.63	41.71	26.74	17	10.82	6.966	4.029	2.973	3.576	4.61	5.431	5.738	4.799	1.463	-1.287	-2.314	-1.956	-0.7606	0.7246	2.12	3.253	4.069	4.541	4.614	3.761	1.042	-0.8236	0.8065	3.045	3.128	0.6325	-1.515	-1.642	0.8994	0.8994	48
0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.12	64.2	68.4	75.54	78.21	78.9	79.41	82.03	86.74	91.3	95	98.47	100	97.38	88.49	72.74	50.82	33.75	22.02	14.22	9.069	4.717	2.523	2.667	3.677	4.701	5.3	4.805	1.763	-1.114	-2.378	-2.21	-1.111	0.3669	1.813	3.025	3.93	4.49	4.643	3.868	1.139	-0.8424	0.7573	3.079	3.219	0.6704	-1.565	-1.727	0.9094	0.9094	49
0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.32	66.12	67.37	69.19	68.35	66.37	65.65	68.33	74.1	80.25	85.79	92.09	97.38	100	96.53	84.73	63.96	45.74	32.26	22.69	15.86	9.195	4.384	2.605	2.428	2.879	3.379	3.445	1.753	-0.3268	-1.496	-1.667	-1.096	-0.1512	0.8583	1.759	2.474	2.961	3.168	2.753	0.9085	-0.5834	0.4403	2.11	2.284	0.5042	-1.115	-1.269	0.6341	0.6341	50
0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.64	63.57	62.26	59.29	55.35	51.03	49.11	51.46	57.59	64.61	71.37	79.86	88.49	96.53	100	95.13	79.31	62.42	48.58	37.85	29.44	19.83	10.72	4.958	1.736	0.2224	-0.2416	0.1589	1.074	1.209	0.791	0.221	-0.2736	-0.5965	-0.7484	-0.7719	-0.709	-0.588	-0.4259	-0.1468	0.1472	0.07695	-0.2107	-0.2825	-0.1501	0.02371	0.06785	0.00711	-0.04492	-0.04492	51
0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.07	54.45	52.08	46.99	41.83	36.61	34.02	35.57	40.79	47.22	53.77	62.63	72.74	84.73	95.13	100	93.83	82.13	70.51	60.23	51.08	38.71	24.11	12.29	3.835	-1.524	-4.346	-4.627	-0.5563	3.154	4.378	3.639	1.784	-0.3886	-2.358	-3.911	-4.999	-5.607	-5.686	-4.576	-1.165	1.073	-1.043	-3.81	-3.862	-0.7546	1.88	2.028	-1.044	-1.044	52
0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.1	38.73	36.94	32.79	28.62	24.28	21.79	22.24	25.4	29.79	34.6	41.71	50.82	63.96	79.31	93.83	100	96.57	89.88	82.23	74.11	60.91	42.24	24.71	10.61	0.6183	-5.541	-8.125	-2.606	4.315	7.548	7.242	4.602	1.001	-2.538	-5.515	-7.759	-9.194	-9.699	-8.206	-2.431	1.878	-1.518	-6.548	-6.903	-1.449	3.378	3.784	-1.812	-1.812	53
0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.49	25.31	24.71	22.76	20.38	17.56	15.61	15.29	16.62	18.98	21.9	26.74	33.75	45.74	62.42	82.13	96.57	100	98.02	93.63	87.64	75.94	56.83	37	19.87	6.854	-1.965	-7.58	-3.711	3.956	8.382	8.951	6.684	3.027	-0.8304	-4.24	-6.943	-8.818	-9.715	-8.615	-2.84	1.967	-1.276	-6.658	-7.269	-1.607	3.589	4.151	-1.825	-1.825	54
