#ZVView-data-copy: 19-Nov-2018 01:32:48																																													
																																																																																									
#																																													
#MT103:LB5:Symmetric Matrix																																													
Z(44x44): Zi,j = Cor(σXi,σYj)*100																																													
	X (MeV)																																												
Y(MeV)	0.4	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5	18	18.5	19	20	24	28	34	42	50	60	j
14.5	0.3673	1.128	2.56	2.136	1.532	1.631	2.128	2.551	2.56	2.166	1.734	1.655	2.155	3.21	4.557	5.823	6.557	6.248	4.755	2.927	2.398	5.26	14.24	31.33	54.14	76.76	93.67	100	94.16	79.97	62.47	45.26	30.29	18.32	9.255	2.599	-4.006	0	0	0	0	0	0	0	28
15	2.438	0.9438	8.003	8.605	3.661	0.8817	2.159	5.766	9.344	10.95	10.23	7.943	5.172	3.155	2.828	4.47	7.743	11.62	14.39	14.92	13.7	12.35	13.4	20.2	34.76	55.42	77.51	94.16	100	95.09	83.15	67.95	52.38	38.29	26.47	16.95	6.43	0	0	0	0	0	0	0	29
15.5	4.81	3.197	15.41	16.85	8.288	2.478	3.473	9.04	15.49	19.37	19.51	16.59	12.02	7.7	5.53	6.537	10.78	17.19	23.23	26.33	25.91	22.83	18.68	16.68	21.59	36.02	57.73	79.97	95.09	100	95.97	86.05	73.26	60.05	47.9	37.4	24.94	0	0	0	0	0	0	0	30
16	6.715	7.037	22.49	24.26	13.8	5.797	5.72	11.59	19.38	24.98	26.59	24.54	19.95	14.78	11.32	11.18	14.91	21.73	29.07	33.85	34.8	31.97	25.76	18.23	14.99	21.79	39.33	62.47	83.15	95.97	100	96.72	88.74	78.58	68.1	58.35	45.98	0	0	0	0	0	0	0	31
16.5	7.828	11.4	27.94	29.49	18.88	9.867	8.368	13.19	20.78	27.2	30.38	30.12	26.94	22.25	18.28	16.95	19.22	24.8	31.61	36.88	39.08	37.63	31.76	21.94	13.19	12.93	24.53	45.26	67.95	86.05	96.72	100	97.44	91.36	83.73	75.86	65.07	0	0	0	0	0	0	0	32
17	8.162	15.46	31.34	32.28	22.81	13.85	10.95	13.91	20.21	26.62	31.13	32.99	31.97	28.68	24.9	22.6	23.05	26.43	31.51	36.28	39.33	39.63	35.5	25.78	14.08	8.263	13.75	30.29	52.38	73.26	88.74	97.44	100	98.1	93.71	88.22	79.81	0	0	0	0	0	0	0	33
17.5	7.918	18.79	32.95	33.06	25.46	17.28	13.18	14.01	18.43	24.28	29.73	33.62	34.96	33.48	30.36	27.41	26.08	26.99	29.78	33.43	36.88	38.85	37	28.79	16.09	6.399	6.492	18.32	38.29	60.05	78.58	91.36	98.1	100	98.66	95.58	89.75	0	0	0	0	0	0	0	34
18	7.328	21.33	33.28	32.51	27.02	20	14.99	13.74	16.13	21.09	27.13	32.76	36.33	36.73	34.48	31.18	28.31	26.85	27.27	29.54	33.05	36.41	36.84	30.76	18.31	6.171	1.903	9.255	26.47	47.9	68.1	83.73	93.71	98.66	100	99.07	95.67	0	0	0	0	0	0	0	35
18.5	6.578	23.19	32.84	31.2	27.8	22.08	16.42	13.31	13.75	17.69	24.05	31.07	36.58	38.75	37.45	34.01	29.9	26.36	24.58	25.42	28.76	33.18	35.68	31.85	20.33	6.786	-0.8358	2.599	16.95	37.4	58.35	75.86	88.22	95.58	99.07	100	98.71	0	0	0	0	0	0	0	36
19	5.389	25.05	31.5	28.7	28.09	24.28	18.01	12.62	10.47	12.9	19.38	27.94	35.79	40.22	40.29	36.9	31.44	25.41	20.82	19.69	22.53	28.04	33.04	32.34	22.73	8.35	-2.758	-4.006	6.43	24.94	45.98	65.07	79.81	89.75	95.67	98.71	100	0	0	0	0	0	0	0	37
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	98.93	94.96	76.78	55.1	49.54	49.54	38
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.93	100	97.86	79.61	57.7	51.19	51.19	39
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.96	97.86	100	87.5	67.2	59.75	59.75	40
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.78	79.61	87.5	100	92.65	86.06	86.06	41
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.1	57.7	67.2	92.65	100	97.29	97.29	42
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.54	51.19	59.75	86.06	97.29	100	97.29	43
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.54	51.19	59.75	86.06	97.29	97.29	100	44
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	
