#ZVView-data-copy: 18-Nov-2018 22:46:06																																																			
																																																																																																					
#																																																			
#MT16:LB5:Symmetric Matrix																																																			
Z(50x50): Zi,j = Cor(σXi,σYj)*100																																																			
	X (MeV)																																																		
Y(MeV)	12.104	12.4	12.6	12.8	13	13.2	13.4	13.6	13.8	14	14.2	14.4	14.6	14.8	15	15.2	15.4	15.6	15.8	16	16.5	17	17.5	18	18.5	19	19.5	20	20.5	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	38	40	42	50	60	j
31	8.829	-3.918	-11.56	-11.88	-9.375	-4.785	0.02713	3.436	4.154	3.315	1.528	-0.996	-3.104	-4.721	-5.563	-5.285	-4.569	-3.186	-1.571	1.778	6.714	11.01	13.89	14.99	14.21	11.64	7.543	-20.58	-22.56	-25.65	-28.46	-28.75	28.75	34.31	46.84	63.04	85.46	93.2	98.17	100	97.93	91.89	83.48	74.36	63.32	54.41	66.02	65.74	65.12	65.12	40
32	6.863	-2.728	-8.799	-9.197	-7.371	-3.838	0.02559	2.825	3.542	2.973	1.571	-0.4875	-2.349	-3.879	-4.809	-4.869	-4.522	-3.624	-2.483	0.06297	4.105	7.985	11.05	12.9	13.37	12.4	10.08	-16.65	-17.78	-19.85	-22.17	-23.15	27.55	30.8	40.29	54.06	76.34	85.11	92.56	97.93	100	97.88	92.46	85.45	75.7	65.93	60.16	59.91	59.35	59.35	41
33	3.549	-0.8958	-4.194	-4.605	-3.828	-2.062	0.08559	1.715	2.294	2.109	1.37	0.1814	-1.075	-2.229	-3.076	-3.473	-3.57	-3.336	-2.888	-1.623	0.7924	3.595	6.36	8.751	10.53	11.52	11.56	-12.9	-12.75	-13.02	-13.86	-14.78	29.16	29.92	35.47	45.11	66.08	74.64	83.56	91.88	97.88	100	98.18	93.99	86.56	77.04	54.44	54.22	53.71	53.71	42
34	-0.2108	1.099	1.019	0.6546	0.2888	0.05673	0.1914	0.4182	0.7643	0.9784	0.9979	0.8422	0.372	-0.2329	-0.862	-1.519	-2.024	-2.462	-2.746	-2.893	-2.38	-0.9924	1.127	3.748	6.609	9.413	11.81	-11.49	-9.934	-8.078	-6.799	-6.971	31.67	30.27	31.86	36.77	56.86	64.15	73.36	83.48	92.46	98.18	100	98.68	94.06	85.87	50.54	50.45	50.1	50.1	43
35	-3.602	2.864	5.735	5.449	4.077	2.043	0.321	-0.7665	-0.6747	-0.1226	0.5852	1.39	1.686	1.648	1.287	0.4652	-0.3523	-1.348	-2.259	-3.652	-4.879	-4.868	-3.49	-0.863	2.753	6.986	11.33	-9.147	-6.418	-2.738	0.4406	1.099	35.02	32.04	30.36	31	48.58	54.35	63.26	74.36	85.45	93.99	98.68	100	98.18	91.91	46.23	46.15	45.83	45.83	44
36	-7.069	4.624	10.59	10.44	8.077	4.196	0.5125	-1.995	-2.229	-1.363	0.05539	1.885	3.051	3.696	3.716	2.825	1.768	0.2674	-1.237	-3.868	-6.914	-8.453	-8.06	-5.702	-1.606	3.815	9.943	-7.518	-3.641	1.947	7.329	9.28	39.49	35.36	30.65	26.76	41.12	44.58	52.23	63.32	75.7	86.56	94.06	98.18	100	97.26	42.63	42.56	42.26	42.26	45
38	-8.435	5.244	12.59	12.6	9.901	5.277	0.7022	-2.506	-2.983	-2.045	-0.3294	1.988	3.644	4.737	5.086	4.331	3.31	1.711	0.04129	-3.035	-6.889	-9.295	-9.667	-7.854	-4.009	1.502	8.071	-7.816	-3.495	3.033	9.859	13.16	43.22	39.37	33.72	27.29	38.87	39.81	45.1	54.41	65.93	77.04	85.87	91.91	97.26	100	41.98	41.91	41.61	41.61	46
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35.35	-34.25	-32.04	-28.54	-25.47	55.85	54.45	53.57	50.31	85.11	78.82	72.19	66.02	60.16	54.44	50.54	46.23	42.63	41.98	100	99.83	99.13	99.13	47
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-35.05	-33.96	-31.77	-28.3	-25.25	55.88	54.49	53.6	50.34	84.76	78.5	71.9	65.74	59.91	54.22	50.45	46.15	42.56	41.91	99.83	100	99.61	99.61	48
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-33.8	-32.75	-30.64	-27.29	-24.35	55.85	54.45	53.57	50.31	83.96	77.76	71.22	65.12	59.35	53.71	50.1	45.83	42.26	41.61	99.13	99.61	100	99.61	49
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-33.8	-32.75	-30.64	-27.29	-24.35	55.85	54.45	53.57	50.31	83.96	77.76	71.22	65.12	59.35	53.71	50.1	45.83	42.26	41.61	99.13	99.61	99.61	100	50
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
