#ZVView-data-copy: 18-Nov-2018 22:41:39																																																																																							
																																																																																							
#																																															
#IRDFF-1.05: IN-115(N,INL)In-115M																																															
Z(46x46): Zi,j = Cor(σXi,σYj)*100																																															
	X (MeV)																																														
Y(MeV)	0.339199	0.6	0.8	1	1.2	1.4	1.6	1.8	2	2.2	2.4	2.6	2.8	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5	10	10.5	11	11.5	12	13	14	15	16	17	18	19	20	24	28	34	42	50	60	j
9.5	1.076	3.072	4.491	0.3869	0.2117	3.884	6.107	4.692	1.402	0.3763	2.784	5.693	6.297	3.399	2.97	9.011	14.19	15.8	15.95	18.75	26.04	37.74	52.18	67.22	81.78	94.28	100	92.84	73.17	47.46	22.65	0.6258	-2.646	1.838	-10.19	-8.954	-4.233	1.696	5.757	0	0	0	0	0	0	0	27
10	2.689	2.136	3.051	3.276	1.699	1.233	2.656	4.378	4.106	1.956	0.8427	2.202	4.744	6.281	3.029	4.769	12.91	20.93	23.55	23.34	23.85	26.88	33.34	43.71	58.25	76.12	92.84	100	92.58	72.76	46.23	13.89	-4.259	2.306	-16.82	-19.12	-13.43	-2.009	8.702	0	0	0	0	0	0	0	28
10.5	3.898	1.032	0.9292	5.689	3.377	-1.28	-1.412	2.93	6.14	3.803	-0.6328	-1.647	1.846	7.912	3.582	0.2492	9.037	22.68	29.57	29.19	25.55	21.4	19.45	22.54	32.66	50.44	73.17	92.58	100	92.52	72.23	37.6	1.167	1.731	-12.13	-17.78	-15.22	-5.141	6.263	0	0	0	0	0	0	0	29
11	3.965	0.2916	-0.742	6.204	4.198	-2.36	-3.892	1.114	6.289	4.75	-0.9679	-3.803	-0.8156	7.312	4.063	-2.325	4.491	19.74	29.91	31.59	27.75	20.75	13.52	9.924	13.29	25.81	47.46	72.76	92.52	100	92.47	65.5	13.95	0.2146	3.818	-3.277	-7.036	-5.559	-0.7213	0	0	0	0	0	0	0	30
11.5	2.779	0.1426	-1.247	4.497	3.635	-1.653	-3.713	-0.2669	4.398	4.186	-0.2092	-3.4	-2.048	4.69	3.934	-2.147	1.064	13.06	23.61	27.99	27.12	21.9	13.97	6.648	3.58	8.047	22.65	46.23	72.23	92.47	100	88.27	31.33	-1.213	24.67	18.79	8.298	-2.402	-8.683	0	0	0	0	0	0	0	31
12	0.2609	0.6427	-0.1815	0.3747	1.283	0.9167	-0.2962	-0.7073	0.3814	1.64	1.449	-0.02252	-1.125	0.2063	2.675	1.016	-0.3001	3.115	9.787	16.15	20.53	21.5	18.1	11.28	3.64	-1.425	0.6258	13.89	37.6	65.5	88.27	100	58.52	2.277	45.03	43.42	28.53	5.643	-13.74	0	0	0	0	0	0	0	32
13	-1.066	0.8294	1.156	-1.912	-0.8989	1.993	2.508	0.3391	-1.679	-0.8801	1.461	2.426	1.127	-1.59	0.3473	2.891	1.253	-1.603	-1.695	1.149	5.459	9.688	12.08	11.52	8.088	2.696	-2.646	-4.259	1.167	13.95	31.33	58.52	100	51.91	32.23	26.23	19.8	8.554	-2.694	0	0	0	0	0	0	0	33
14	0.2509	-0.03036	-0.1977	0.4751	0.3306	-0.2802	-0.4627	-0.04196	0.4429	0.3569	-0.1357	-0.4247	-0.2199	0.4495	0.2253	-0.3655	0.003177	0.9934	1.611	1.589	1.154	0.5324	-0.003502	-0.1814	0.1323	0.9015	1.838	2.306	1.731	0.2146	-1.213	2.277	51.91	100	47.1	18.99	7.91	1.769	-1.033	0	0	0	0	0	0	0	34
15	-3.607	1.695	3.196	-6.248	-3.748	5	7.183	0.9768	-5.592	-3.922	3.062	6.69	3.455	-5.341	-1.196	6.816	2.264	-8.614	-13.4	-9.841	-1.449	8.268	15.36	16.76	11.77	1.619	-10.19	-16.82	-12.13	3.818	24.67	45.03	32.23	47.1	100	91.64	72.64	38.7	4.098	0	0	0	0	0	0	0	35
16	-4.192	1.982	4.192	-7.357	-4.818	5.78	8.954	1.806	-6.468	-5.094	3.223	8.175	4.909	-5.874	-2.037	8.12	3.824	-9.31	-16.53	-14.01	-5.213	6.122	15.53	19.09	15.36	4.963	-8.954	-19.12	-17.78	-3.277	18.79	43.42	26.23	18.99	91.64	100	92.03	64.03	28.48	0	0	0	0	0	0	0	36
