#ZVView-data-copy: 18-Nov-2018 22:47:13																																																			
																																																																																																				
#																																																			
#MT16:LB5:Symmetric Matrix																																																			
Z(50x50): Zi,j = Cor(σXi,σYj)*100																																																			
	X (MeV)																																																		
Y(MeV)	8.11229	8.5	9	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.2	14.4	14.6	14.8	15	15.5	16	16.5	17	17.5	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	40.0001	42	50	60	j
19	2.747	0.4665	0.09825	4.696	6.47	4.903	1.479	-0.9504	-0.2976	3.817	9.457	12.13	6.858	3.955	3.885	7.571	13.62	19.84	18.25	11.52	7.776	14.94	35.57	76.33	100	87.67	67.96	48.24	29.37	13.47	2.709	-2.891	-4.561	-3.543	-0.7935	2.902	6.875	10.62	13.84	16.45	18.48	20.04	21.21	22.08	22.74	0	0	0	0	0	25
20	-10.15	3.172	0.06938	-3.344	2.744	8.799	8.931	3.419	-3.723	-7.099	-3.593	5.629	8.18	5.938	3.606	3.341	6.675	16.81	25.13	22.81	12.71	4.918	9.322	42.91	87.67	100	93.36	78.62	57.91	35.25	16.05	2.819	-4.775	-7.889	-7.623	-4.968	-0.8687	3.826	8.484	12.74	16.44	19.58	22.21	24.41	26.25	0	0	0	0	0	26
21	-17.49	5.096	1.016	-8.187	-0.7643	9.869	13.46	7.773	-3.21	-11.91	-11.7	0.1524	8.909	8.26	5.033	1.485	0.8017	9.517	23.5	28.09	20.14	7.414	1.447	21.63	67.96	93.36	100	94.28	79.26	57.99	36.8	19.91	8.156	0.9191	-2.66	-3.401	-2.113	0.4131	3.515	6.729	9.787	12.57	15.04	17.2	19.09	0	0	0	0	0	27
22	-17.81	5.652	2.131	-8.635	-2.276	8.906	14.2	10.09	-0.6186	-10.87	-13.14	-2.366	8.504	9.146	6.195	1.356	-1.983	3.378	18.07	27.2	23.88	12.21	1.921	9.972	48.24	78.62	94.28	100	93.79	78.94	60.43	43.34	29.56	19.16	11.7	6.727	3.787	2.416	2.152	2.592	3.434	4.473	5.581	6.688	7.752	0	0	0	0	0	28
23	-12.01	4.841	2.967	-5.203	-1.52	6.656	11.59	9.919	2.719	-5.549	-8.877	-1.956	6.985	8.233	6.368	2.209	-1.826	-0.1424	11.23	21.47	22.81	15.62	5.757	4.586	29.37	57.91	79.26	93.79	100	93.92	81.78	67.7	54.38	42.55	32.23	23.4	16.08	10.27	5.871	2.675	0.4334	-1.092	-2.095	-2.727	-3.097	0	0	0	0	0	29
24	-2.795	3.116	3.288	0.4631	0.9565	4.07	7.005	7.738	5.629	1.62	-1.333	0.5623	4.851	5.974	5.514	3.393	0.4153	-0.7742	5.011	13.3	17.89	16.35	9.995	3.464	13.47	35.25	57.99	78.94	93.92	100	94.99	86.28	75.78	64.7	53.47	42.38	31.91	22.52	14.52	7.961	2.732	-1.378	-4.588	-7.095	-9.058	0	0	0	0	0	30
25	6.231	1.267	3.173	6.153	4.044	2.105	2.448	4.839	7.452	8.06	6.36	3.829	2.885	3.404	4.165	4.432	3.41	0.7042	0.9211	5.699	11.65	14.88	13	4.777	2.709	16.05	36.8	60.43	81.78	94.99	100	96.06	89.68	81.07	70.83	59.5	47.78	36.49	26.29	17.48	10.12	4.072	-0.8612	-4.881	-8.166	0	0	0	0	0	31
26	12.92	-0.148	2.865	10.54	6.876	1.158	-0.8268	2.329	8.248	12.54	12.32	6.824	1.556	1.314	2.878	5.164	6.174	3.153	-0.8328	0.3409	6.169	12.47	14.5	7.027	-2.891	2.819	19.91	43.34	67.7	86.28	96.06	100	96.65	91.33	83.37	73.33	62.01	50.42	39.43	29.59	21.09	13.91	7.902	2.891	-1.296	0	0	0	0	0	32
27	16.78	-0.9504	2.545	13.3	9.084	1.17	-2.517	0.6711	8.33	14.98	16.09	9.126	0.9356	-0.02442	1.922	5.604	8.3	5.772	-0.7626	-2.564	2.24	9.983	14.82	9.353	-4.561	-4.775	8.156	29.56	54.38	75.78	89.68	96.65	100	96.86	91.86	84.1	74.33	63.62	52.96	43.04	34.24	26.61	20.09	14.56	9.859	0	0	0	0	0	33
28	17.97	-1.151	2.3	14.49	10.54	1.927	-2.741	-0.05606	7.947	15.63	17.76	10.61	0.9259	-0.6162	1.358	5.788	9.671	8.113	0.5497	-3.362	-0.0601	7.784	14.26	11.33	-3.543	-7.889	0.9191	19.16	42.55	64.7	81.07	91.33	96.86	100	96.9	92.03	84.61	75.62	66.1	56.87	48.4	40.88	34.32	28.66	23.77	0	0	0	0	0	34
29	16.8	-0.8288	2.154	14.23	11.2	3.192	-1.748	0.06805	7.248	14.78	17.54	11.24	1.385	-0.5571	1.163	5.737	10.26	9.915	2.614	-2.499	-0.8988	6.001	13.04	12.73	-0.7935	-7.623	-2.66	11.7	32.23	53.47	70.83	83.37	91.86	96.9	100	96.96	92.39	85.72	77.97	70	62.39	55.43	49.22	43.76	38.98	0	0	0	0	0	35
30	13.74	-0.09944	2.103	12.76	11.07	4.72	0.1445	0.8817	6.348	12.75	15.74	11.06	2.154	0.0131	1.273	5.47	10.11	11.03	5.002	-0.4551	-0.5436	4.665	11.33	13.44	2.902	-4.968	-3.401	6.727	23.4	42.38	59.5	73.33	84.1	92.03	96.96	100	97.15	93.16	87.57	81.27	74.92	68.88	63.34	58.36	53.92	0	0	0	0	0	36
31	9.376	0.8873	2.13	10.4	10.28	6.278	2.563	2.162	5.354	9.923	12.8	10.2	3.074	0.9216	1.603	5.032	9.331	11.42	7.355	2.272	0.6698	3.758	9.346	13.46	6.875	-0.8687	-2.113	3.787	16.08	31.91	47.78	62.01	74.33	84.61	92.39	97.15	100	97.48	94.23	89.83	84.96	80.07	75.42	71.12	67.21	0	0	0	0	0	37
32	4.395	1.979	2.21	7.541	9.004	7.691	5.148	3.674	4.371	6.739	9.234	8.864	4.005	1.993	2.058	4.487	8.13	11.19	9.418	5.222	2.384	3.225	7.306	12.92	10.62	3.826	0.4131	2.416	10.27	22.52	36.49	50.42	63.62	75.62	85.72	93.16	97.48	100	97.88	95.39	92.07	88.42	84.75	81.24	77.96	0	0	0	0	0	38
33	-0.6373	3.057	2.322	4.546	7.478	8.868	7.632	5.224	3.476	3.556	5.504	7.291	4.857	3.086	2.562	3.906	6.711	10.52	11.08	8.059	4.291	2.989	5.383	11.99	13.84	8.484	3.515	2.152	5.871	14.52	26.29	39.43	52.96	66.1	77.97	87.57	94.23	97.88	100	98.27	96.43	93.99	91.31	88.6	85.97	0	0	0	0	0	39
34	-5.347	4.048	2.451	1.671	5.881	9.792	9.863	6.69	2.709	0.6058	1.931	5.664	5.59	4.112	3.06	3.339	5.243	9.579	12.32	10.6	6.181	2.967	3.678	10.87	16.45	12.74	6.729	2.592	2.675	7.961	17.48	29.59	43.04	56.87	70	81.27	89.83	95.39	98.27	100	98.61	97.28	95.51	93.55	91.55	0	0	0	0	0	40
35	-9.561	4.923	2.585	-0.951	4.331	10.49	11.79	8.013	2.077	-2.004	-1.316	4.1	6.197	5.03	3.525	2.819	3.834	8.522	13.22	12.78	7.938	3.087	2.224	9.696	18.48	16.44	9.787	3.434	0.4334	2.732	10.12	21.09	34.24	48.4	62.39	74.92	84.96	92.07	96.43	98.61	100	98.88	97.92	96.64	95.2	0	0	0	0	0	41
36	-13.24	5.68	2.719	-3.273	2.891	11.01	13.43	9.179	1.571	-4.254	-4.18	2.659	6.692	5.832	3.945	2.358	2.538	7.441	13.83	14.61	9.517	3.295	1.014	8.545	20.04	19.58	12.57	4.473	-1.092	-1.378	4.072	13.91	26.61	40.88	55.43	68.88	80.07	88.42	93.99	97.28	98.88	100	99.09	98.4	97.47	0	0	0	0	0	42
37	-16.41	6.33	2.849	-5.299	1.585	11.38	14.8	10.19	1.173	-6.17	-6.669	1.363	7.093	6.523	4.319	1.956	1.373	6.394	14.24	16.13	10.91	3.551	0.01798	7.466	21.21	22.21	15.04	5.581	-2.095	-4.588	-0.8612	7.902	20.09	34.32	49.22	63.34	75.42	84.75	91.31	95.51	97.92	99.09	100	99.25	98.75	0	0	0	0	0	43
38	-19.13	6.887	2.975	-7.056	0.4158	11.66	15.96	11.08	0.8617	-7.793	-8.818	0.2098	7.419	7.117	4.65	1.609	0.3383	5.408	14.49	17.4	12.13	3.832	-0.7989	6.476	22.08	24.41	17.2	6.688	-2.727	-7.095	-4.881	2.891	14.56	28.66	43.76	58.36	71.12	81.24	88.6	93.55	96.64	98.4	99.25	100	99.38	0	0	0	0	0	44
39	-21.48	7.366	3.094	-8.58	-0.6272	11.85	16.94	11.85	0.621	-9.169	-10.67	-0.8112	7.685	7.63	4.943	1.312	-0.5759	4.494	14.64	18.45	13.2	4.121	-1.469	5.579	22.74	26.25	19.09	7.752	-3.097	-9.058	-8.166	-1.296	9.859	23.77	38.98	53.92	67.21	77.96	85.97	91.55	95.2	97.47	98.75	99.38	100	0	0	0	0	0	45
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	46
40.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99.42	99.3	99.3	47
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.42	100	99.43	99.43	48
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.3	99.43	100	99.43	49
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.3	99.43	99.43	100	50
i 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	
