A, Mass Sum Yield, Uncert Total
  88, 3.7692e+00, 4.9756e-01
  89, 4.7227e+00, 5.2573e-01
  90, 5.6630e+00, 4.7648e-01
  91, 5.7722e+00, 5.0182e-01
  92, 6.1518e+00, 5.7581e-01
  93, 6.0923e+00, 5.4518e-01
  94, 6.9331e+00, 6.5220e-01
  95, 6.6101e+00, 5.5509e-01
  96, 6.3711e+00, 4.7444e-01
  97, 6.0566e+00, 3.4370e-01
  98, 6.3473e+00, 3.7811e-01
  99, 6.2756e+00, 4.7461e-01
 100, 6.4239e+00, 6.8874e-01
 101, 5.2023e+00, 9.5417e-01
 102, 3.9569e+00, 9.6593e-01
 103, 2.6609e+00, 7.9134e-01
 104, 1.6645e+00, 6.1036e-01
 105, 7.9350e-01, 3.5772e-01
 106, 3.4290e-01, 1.7763e-01
 107, 1.2020e-01, 7.8730e-02
 108, 4.0200e-02, 2.8430e-02
 109, 1.5800e-02, 1.4650e-02
 110, 1.3700e-02, 1.3700e-02
 111, 1.2600e-02, 9.4600e-03
 112, 1.2500e-02, 1.0840e-02
 113, 1.6500e-02, 9.7400e-03
 114, 1.8000e-02, 1.1560e-02
 115, 1.9100e-02, 1.2880e-02
 116, 2.0200e-02, 1.7370e-02
 117, 1.6900e-02, 1.3170e-02
 118, 1.7200e-02, 1.2050e-02
 119, 1.2600e-02, 1.0230e-02
 120, 1.4500e-02, 1.1110e-02
 121, 1.0700e-02, 9.7900e-03
 122, 1.0600e-02, 1.0020e-02
 123, 1.1500e-02, 7.7200e-03
 124, 1.1700e-02, 8.5400e-03
 125, 1.6000e-02, 1.2620e-02
 126, 4.5800e-02, 3.6030e-02
 127, 1.2920e-01, 9.0850e-02
 128, 3.8570e-01, 2.3242e-01
 129, 8.9540e-01, 3.6878e-01
 130, 1.7644e+00, 6.4818e-01
 131, 2.8016e+00, 8.4134e-01
 132, 4.1071e+00, 9.8746e-01
 133, 6.1424e+00, 9.3516e-01
 134, 7.8126e+00, 7.4023e-01
 135, 6.7941e+00, 4.0746e-01
 136, 6.6044e+00, 3.1383e-01
 137, 6.3455e+00, 3.7358e-01
 138, 6.7178e+00, 5.6030e-01
 139, 6.3951e+00, 5.7639e-01
 140, 6.0136e+00, 5.4318e-01
 141, 5.5904e+00, 5.0312e-01
 142, 6.0309e+00, 4.9531e-01
 143, 5.6490e+00, 5.1435e-01
 144, 5.2949e+00, 5.3621e-01
 145, 4.1511e+00, 4.7376e-01
 146, 3.1343e+00, 3.9235e-01
 147, 2.3392e+00, 3.5684e-01
 148, 1.7924e+00, 3.6123e-01
 149, 1.1842e+00, 2.9095e-01
 150, 7.2950e-01, 2.4075e-01
 151, 4.2490e-01, 1.8566e-01
 152, 2.7670e-01, 1.3685e-01
 153, 1.5240e-01, 9.4050e-02
 154, 8.7900e-02, 6.0620e-02
 155, 4.0200e-02, 2.6850e-02
 156, 1.8200e-02, 1.2330e-02
 157, 7.6000e-03, 5.8700e-03
 158, 1.6000e-03, 1.6000e-03
 159, 1.0000e-03, 1.0000e-03
 160, 4.0000e-04, 4.0000e-04
 161, 0.0000e+00, 0.0000e+00
 162, 0.0000e+00, 0.0000e+00
  2.092e-006 MeV.
  73, 1.0000e-04, 1.0000e-04
  74, 1.0000e-04, 1.0000e-04
  75, 9.0000e-04, 9.0000e-04
  76, 3.5000e-03, 3.5000e-03
  77, 1.0400e-02, 8.9100e-03
  78, 2.4000e-02, 1.6630e-02
  79, 6.2200e-02, 3.1310e-02
  80, 1.2660e-01, 7.2440e-02
  81, 1.8890e-01, 9.4910e-02
  82, 3.1420e-01, 1.3769e-01
  83, 5.0090e-01, 1.7902e-01
  84, 8.8080e-01, 2.2533e-01
  85, 1.3302e+00, 2.5997e-01
  86, 1.9074e+00, 3.0448e-01
  87, 2.4722e+00, 2.9086e-01
  88, 3.7664e+00, 4.0035e-01
  89, 4.7159e+00, 4.1751e-01
  90, 5.6247e+00, 4.3126e-01
  91, 5.7547e+00, 4.4349e-01
  92, 6.1606e+00, 5.9441e-01
  93, 6.1076e+00, 6.0707e-01
  94, 6.9973e+00, 6.1712e-01
  95, 6.6215e+00, 5.9378e-01
  96, 6.3655e+00, 4.5916e-01
  97, 6.0760e+00, 2.8709e-01
  98, 6.3925e+00, 2.9230e-01
  99, 6.2898e+00, 4.5958e-01
 100, 6.3696e+00, 6.5601e-01
 101, 5.2306e+00, 7.9519e-01
 102, 3.9839e+00, 7.8582e-01
 103, 2.6755e+00, 6.3389e-01
 104, 1.6436e+00, 4.4873e-01
 105, 7.9750e-01, 2.6460e-01
 106, 3.3900e-01, 1.4303e-01
 107, 1.1700e-01, 5.4500e-02
 108, 3.8400e-02, 2.2180e-02
 109, 1.5700e-02, 1.0000e-02
 110, 1.3100e-02, 8.9000e-03
 111, 1.3600e-02, 9.0000e-03
 112, 1.5400e-02, 7.5600e-03
 113, 1.6500e-02, 1.0000e-02
 114, 1.4000e-02, 9.8700e-03
 115, 1.8500e-02, 1.1240e-02
 116, 1.7500e-02, 1.1020e-02
 117, 1.5600e-02, 7.9100e-03
 118, 1.6700e-02, 9.4500e-03
 119, 1.5500e-02, 7.9600e-03
 120, 1.4300e-02, 9.9000e-03
 121, 1.0900e-02, 6.5500e-03
 122, 1.1000e-02, 7.6400e-03
 123, 8.0000e-03, 5.9700e-03
 124, 1.0900e-02, 8.1500e-03
 125, 1.2700e-02, 9.1600e-03
 126, 4.4000e-02, 2.3860e-02
 127, 1.3460e-01, 6.8640e-02
 128, 3.8660e-01, 1.6622e-01
 129, 9.0650e-01, 3.1065e-01
 130, 1.7756e+00, 4.7195e-01
 131, 2.8068e+00, 6.8513e-01
 132, 4.1411e+00, 7.7876e-01
 133, 6.1769e+00, 8.2176e-01
 134, 7.7391e+00, 6.6805e-01
 135, 6.8158e+00, 3.3593e-01
 136, 6.6589e+00, 2.8898e-01
 137, 6.3185e+00, 3.6440e-01
 138, 6.7822e+00, 5.7986e-01
 139, 6.3703e+00, 5.6075e-01
 140, 5.9860e+00, 5.7913e-01
 141, 5.6310e+00, 5.3708e-01
 142, 6.0369e+00, 5.1442e-01
 143, 5.6573e+00, 4.2220e-01
 144, 5.2768e+00, 4.7355e-01
 145, 4.1487e+00, 3.4756e-01
 146, 3.1290e+00, 2.9693e-01
 147, 2.3077e+00, 3.0837e-01
 148, 1.7907e+00, 3.0701e-01
 149, 1.1703e+00, 2.2281e-01
 150, 6.9470e-01, 1.8548e-01
 151, 4.0930e-01, 1.4106e-01
 152, 2.6360e-01, 1.2166e-01
 153, 1.5670e-01, 6.9040e-02
 154, 8.7100e-02, 4.7960e-02
 155, 3.8100e-02, 2.4520e-02
 156, 1.8100e-02, 1.3880e-02
 157, 7.9000e-03, 5.6900e-03
 158, 2.7000e-03, 2.7000e-03
 159, 4.0000e-04, 4.0000e-04
 160, 2.0000e-04, 2.0000e-04
 161, 0.0000e+00, 0.0000e+00
 162, 0.0000e+00, 0.0000e+00
  6.868e-006 MeV.
  73, 2.0000e-04, 2.0000e-04
  74, 2.0000e-04, 2.0000e-04
  75, 9.0000e-04, 9.0000e-04
  76, 4.8000e-03, 4.8000e-03
  77, 9.0000e-03, 9.0000e-03
  78, 2.2000e-02, 1.7220e-02
  79, 6.1400e-02, 5.0820e-02
  80, 1.3620e-01, 1.2539e-01
  81, 1.9200e-01, 1.3384e-01
  82, 3.2270e-01, 2.2087e-01
  83, 5.1820e-01, 2.7978e-01
  84, 8.7690e-01, 3.4173e-01
  85, 1.3406e+00, 3.3827e-01
  86, 1.9198e+00, 3.2474e-01
  87, 2.5066e+00, 2.7019e-01
  88, 3.7654e+00, 3.3138e-01
  89, 4.7318e+00, 4.3031e-01
  90, 5.6385e+00, 4.7875e-01
  91, 5.7497e+00, 4.8929e-01
  92, 6.1194e+00, 6.2164e-01
  93, 6.0848e+00, 6.7350e-01
  94, 6.9861e+00, 7.0459e-01
  95, 6.6321e+00, 6.6023e-01
  96, 6.3910e+00, 5.4168e-01
  97, 6.0625e+00, 3.5980e-01
  98, 6.3899e+00, 3.6751e-01
  99, 6.2779e+00, 3.9861e-01
 100, 6.4228e+00, 7.2638e-01
 101, 5.2017e+00, 8.3092e-01
 102, 3.9261e+00, 8.5355e-01
 103, 2.6595e+00, 6.7987e-01
 104, 1.6458e+00, 5.4794e-01
 105, 8.0190e-01, 2.8352e-01
 106, 3.3060e-01, 1.5254e-01
 107, 1.1710e-01, 6.0460e-02
 108, 4.4700e-02, 2.2260e-02
 109, 1.5600e-02, 1.2650e-02
 110, 1.4100e-02, 9.3800e-03
 111, 1.3200e-02, 1.0400e-02
 112, 1.5300e-02, 8.6500e-03
 113, 1.6100e-02, 1.0180e-02
 114, 1.4800e-02, 1.2770e-02
 115, 1.7900e-02, 1.1230e-02
 116, 1.9300e-02, 1.4370e-02
 117, 1.4600e-02, 1.1500e-02
 118, 1.3700e-02, 1.1890e-02
 119, 1.3500e-02, 8.2700e-03
 120, 1.6200e-02, 7.9500e-03
 121, 1.1800e-02, 8.2200e-03
 122, 1.2500e-02, 9.1500e-03
 123, 8.9000e-03, 6.9200e-03
 124, 1.0500e-02, 6.1400e-03
 125, 1.6300e-02, 1.0060e-02
 126, 4.3000e-02, 3.0450e-02
 127, 1.3820e-01, 6.2480e-02
 128, 3.7870e-01, 1.7362e-01
 129, 8.9880e-01, 3.2179e-01
 130, 1.7515e+00, 5.5326e-01
 131, 2.7666e+00, 7.5624e-01
 132, 4.1189e+00, 8.1766e-01
 133, 6.1600e+00, 8.5659e-01
 134, 7.7939e+00, 7.3978e-01
 135, 6.7946e+00, 3.5757e-01
 136, 6.5994e+00, 3.7256e-01
 137, 6.3986e+00, 4.5621e-01
 138, 6.8001e+00, 6.0697e-01
 139, 6.3585e+00, 6.5661e-01
 140, 6.0150e+00, 6.5364e-01
 141, 5.5660e+00, 5.8778e-01
 142, 6.0366e+00, 5.6361e-01
 143, 5.6550e+00, 5.0633e-01
 144, 5.2625e+00, 4.4487e-01
 145, 4.1613e+00, 3.3006e-01
 146, 3.1432e+00, 3.2375e-01
 147, 2.3431e+00, 2.8590e-01
 148, 1.7909e+00, 3.3885e-01
 149, 1.1614e+00, 2.9974e-01
 150, 7.1650e-01, 2.7265e-01
 151, 4.2710e-01, 2.2014e-01
 152, 2.7770e-01, 1.7755e-01
 153, 1.5490e-01, 1.1228e-01
 154, 8.4000e-02, 6.7690e-02
 155, 4.2400e-02, 3.7210e-02
 156, 1.6000e-02, 1.6000e-02
 157, 6.1000e-03, 6.1000e-03
 158, 3.1000e-03, 3.1000e-03
 159, 1.0000e-03, 1.0000e-03
 160, 2.0000e-04, 2.0000e-04
 161, 1.0000e-04, 1.0000e-04
 162, 0.0000e+00, 0.0000e+00
  1.985e-005 MeV.
  74, 7.0000e-04, 7.0000e-04
  75, 8.0000e-04, 8.0000e-04
  76, 4.8000e-03, 4.8000e-03
  77, 1.0100e-02, 6.7200e-03
  78, 2.3500e-02, 1.4940e-02
  79, 6.1000e-02, 3.5510e-02
  80, 1.2940e-01, 6.0300e-02
  81, 1.9450e-01, 8.5080e-02
  82, 3.1350e-01, 1.5158e-01
  83, 5.0730e-01, 1.9726e-01
  84, 8.9890e-01, 2.5267e-01
  85, 1.3407e+00, 2.8076e-01
  86, 1.9226e+00, 3.3406e-01
  87, 2.5085e+00, 3.1359e-01
  88, 3.7276e+00, 4.2259e-01
  89, 4.7715e+00, 4.8643e-01
  90, 5.6673e+00, 4.2965e-01
  91, 5.7059e+00, 4.2884e-01
  92, 6.1357e+00, 4.9722e-01
  93, 6.0732e+00, 5.1999e-01
  94, 6.9746e+00, 5.2708e-01
  95, 6.5926e+00, 4.8093e-01
  96, 6.3887e+00, 4.2578e-01
  97, 6.0812e+00, 3.4586e-01
  98, 6.3785e+00, 2.6811e-01
  99, 6.2775e+00, 3.5632e-01
 100, 6.4002e+00, 6.2721e-01
 101, 5.1894e+00, 7.3280e-01
 102, 3.9979e+00, 7.3592e-01
 103, 2.6517e+00, 6.4354e-01
 104, 1.6589e+00, 5.0120e-01
 105, 8.0480e-01, 2.9461e-01
 106, 3.3460e-01, 1.2737e-01
 107, 1.1070e-01, 5.9920e-02
 108, 4.4600e-02, 2.6680e-02
 109, 1.9600e-02, 1.2100e-02
 110, 1.5600e-02, 9.6700e-03
 111, 1.2800e-02, 7.9800e-03
 112, 1.4800e-02, 1.0240e-02
 113, 1.7400e-02, 1.2930e-02
 114, 1.7000e-02, 9.4300e-03
 115, 1.7500e-02, 1.1140e-02
 116, 1.6900e-02, 1.1950e-02
 117, 1.7600e-02, 1.1160e-02
 118, 1.5200e-02, 1.2560e-02
 119, 1.4200e-02, 1.3350e-02
 120, 1.4200e-02, 1.1750e-02
 121, 1.2100e-02, 7.9800e-03
 122, 1.1800e-02, 8.2500e-03
 123, 9.5000e-03, 7.2200e-03
 124, 1.1000e-02, 8.6400e-03
 125, 1.7700e-02, 1.1390e-02
 126, 4.4500e-02, 2.1670e-02
 127, 1.3380e-01, 6.4640e-02
 128, 3.7500e-01, 1.6899e-01
 129, 9.0810e-01, 3.2716e-01
 130, 1.7679e+00, 5.2166e-01
 131, 2.7928e+00, 6.7431e-01
 132, 4.1706e+00, 7.1700e-01
 133, 6.1448e+00, 8.1548e-01
 134, 7.7766e+00, 6.4554e-01
 135, 6.7794e+00, 2.6635e-01
 136, 6.6427e+00, 3.3346e-01
 137, 6.3432e+00, 3.8720e-01
 138, 6.7366e+00, 4.6382e-01
 139, 6.3773e+00, 5.5595e-01
 140, 6.0045e+00, 4.9242e-01
 141, 5.5645e+00, 4.4093e-01
 142, 6.0376e+00, 4.1680e-01
 143, 5.6735e+00, 4.2338e-01
 144, 5.2644e+00, 4.6232e-01
 145, 4.1664e+00, 4.3382e-01
 146, 3.1234e+00, 3.1195e-01
 147, 2.3179e+00, 3.1240e-01
 148, 1.8314e+00, 3.1288e-01
 149, 1.1563e+00, 2.6901e-01
 150, 7.1310e-01, 1.8865e-01
 151, 4.3590e-01, 1.4954e-01
 152, 2.6870e-01, 1.0177e-01
 153, 1.5110e-01, 7.6330e-02
 154, 8.8100e-02, 4.0110e-02
 155, 4.0900e-02, 2.1570e-02
 156, 2.0000e-02, 1.0850e-02
 157, 5.7000e-03, 3.8200e-03
 158, 3.4000e-03, 3.1500e-03
 159, 1.2000e-03, 1.2000e-03
 160, 4.0000e-04, 4.0000e-04
 161, 0.0000e+00, 0.0000e+00
 162, 0.0000e+00, 0.0000e+00
  6.516e-005 MeV.
  72, 1.0000e-04, 1.0000e-04
  73, 1.0000e-04, 1.0000e-04
  74, 4.0000e-04, 4.0000e-04
  75, 1.3000e-03, 1.3000e-03
  76, 4.1000e-03, 4.1000e-03
  77, 9.9000e-03, 7.8700e-03
  78, 2.4300e-02, 1.7120e-02
  79, 6.2900e-02, 3.8360e-02
  80, 1.3970e-01, 8.1730e-02
  81, 1.8380e-01, 1.0908e-01
  82, 3.2580e-01, 1.6614e-01
  83, 4.9910e-01, 2.2292e-01
  84, 9.0750e-01, 3.1184e-01
  85, 1.3528e+00, 3.0208e-01
  86, 1.9053e+00, 3.3414e-01
  87, 2.4916e+00, 3.7063e-01
  88, 3.7627e+00, 4.7555e-01
  89, 4.6991e+00, 5.0303e-01
  90, 5.6588e+00, 4.6887e-01
  91, 5.7659e+00, 4.6985e-01
  92, 6.1475e+00, 5.5702e-01
  93, 6.1021e+00, 5.4145e-01
  94, 6.9380e+00, 5.6316e-01
  95, 6.6196e+00, 5.4744e-01
  96, 6.3519e+00, 4.7431e-01
  97, 6.0443e+00, 3.4822e-01
  98, 6.3819e+00, 3.6597e-01
  99, 6.2943e+00, 4.1316e-01
 100, 6.4037e+00, 6.6048e-01
 101, 5.2054e+00, 7.8107e-01
 102, 3.9806e+00, 7.8992e-01
 103, 2.6596e+00, 6.7036e-01
 104, 1.6668e+00, 4.8028e-01
 105, 7.9920e-01, 2.8314e-01
 106, 3.3850e-01, 1.4780e-01
 107, 1.1910e-01, 6.2310e-02
 108, 4.0800e-02, 2.1210e-02
 109, 1.7600e-02, 9.1400e-03
 110, 1.3700e-02, 6.4000e-03
 111, 1.3700e-02, 8.3800e-03
 112, 1.3200e-02, 6.5300e-03
 113, 1.5900e-02, 1.1500e-02
 114, 1.6400e-02, 7.4900e-03
 115, 1.4600e-02, 9.8300e-03
 116, 2.0400e-02, 1.0080e-02
 117, 1.7800e-02, 1.0120e-02
 118, 1.4700e-02, 7.1300e-03
 119, 1.4700e-02, 8.4100e-03
 120, 1.2700e-02, 8.1600e-03
 121, 1.1300e-02, 9.2100e-03
 122, 1.0900e-02, 6.8900e-03
 123, 9.1000e-03, 5.8600e-03
 124, 8.7000e-03, 4.9900e-03
 125, 1.6800e-02, 1.1860e-02
 126, 4.2900e-02, 2.9930e-02
 127, 1.3450e-01, 7.1100e-02
 128, 3.8800e-01, 1.7806e-01
 129, 9.0250e-01, 3.1828e-01
 130, 1.7768e+00, 5.0737e-01
 131, 2.7847e+00, 6.9023e-01
 132, 4.1416e+00, 7.5950e-01
 133, 6.1560e+00, 7.9538e-01
 134, 7.8178e+00, 6.6389e-01
 135, 6.7978e+00, 3.7971e-01
 136, 6.6277e+00, 3.4308e-01
 137, 6.3217e+00, 4.5076e-01
 138, 6.7349e+00, 4.7324e-01
 139, 6.3975e+00, 5.3351e-01
 140, 5.9489e+00, 5.0761e-01
 141, 5.5907e+00, 4.9419e-01
 142, 6.0449e+00, 5.0036e-01
 143, 5.6597e+00, 4.1708e-01
 144, 5.2711e+00, 5.0697e-01
 145, 4.1584e+00, 4.7216e-01
 146, 3.1440e+00, 4.0125e-01
 147, 2.3196e+00, 3.2840e-01
 148, 1.8041e+00, 3.5192e-01
 149, 1.1707e+00, 3.0225e-01
 150, 7.1910e-01, 2.2434e-01
 151, 4.3140e-01, 1.8015e-01
 152, 2.7190e-01, 1.2311e-01
 153, 1.5120e-01, 8.8450e-02
 154, 8.4900e-02, 4.9190e-02
 155, 4.3900e-02, 2.7270e-02
 156, 1.8200e-02, 1.0500e-02
 157, 8.2000e-03, 7.7100e-03
 158, 2.0000e-03, 2.0000e-03
 159, 1.0000e-03, 1.0000e-03
 160, 7.0000e-04, 7.0000e-04
 161, 2.0000e-04, 2.0000e-04
 162, 0.0000e+00, 0.0000e+00
 163, 0.0000e+00, 0.0000e+00
 164, 1.0000e-04, 1.0000e-04
  0.0001883 MeV.
  75, 9.0000e-04, 9.0000e-04
  76, 3.7000e-03, 3.7000e-03
  77, 9.3000e-03, 9.3000e-03
  78, 2.2800e-02, 1.4990e-02
  79, 6.2200e-02, 3.2040e-02
  80, 1.3440e-01, 6.5320e-02
  81, 1.9630e-01, 9.5050e-02
  82, 3.1870e-01, 1.4058e-01
  83, 5.0550e-01, 1.8394e-01
  84, 8.8550e-01, 2.5033e-01
  85, 1.3382e+00, 2.8483e-01
  86, 1.9097e+00, 3.0592e-01
  87, 2.5128e+00, 2.8555e-01
  88, 3.7494e+00, 3.5586e-01
  89, 4.7210e+00, 3.9903e-01
  90, 5.6318e+00, 4.2574e-01
  91, 5.7402e+00, 4.2257e-01
  92, 6.1321e+00, 4.5437e-01
  93, 6.1154e+00, 4.3686e-01
  94, 6.9533e+00, 5.5098e-01
  95, 6.6153e+00, 4.6841e-01
  96, 6.3490e+00, 3.9211e-01
  97, 6.0843e+00, 3.0436e-01
  98, 6.4147e+00, 3.1511e-01
  99, 6.2541e+00, 4.4023e-01
 100, 6.4605e+00, 6.2993e-01
 101, 5.2096e+00, 6.8745e-01
 102, 3.9781e+00, 7.1873e-01
 103, 2.6460e+00, 5.7441e-01
 104, 1.6503e+00, 4.4262e-01
 105, 7.8960e-01, 2.4275e-01
 106, 3.3020e-01, 1.2053e-01
 107, 1.1670e-01, 5.5170e-02
 108, 4.2400e-02, 1.9350e-02
 109, 1.6300e-02, 9.3000e-03
 110, 1.4900e-02, 7.5000e-03
 111, 1.3100e-02, 6.9700e-03
 112, 1.5800e-02, 7.5500e-03
 113, 1.6600e-02, 7.2900e-03
 114, 1.6600e-02, 9.3500e-03
 115, 1.7900e-02, 1.0160e-02
 116, 2.0500e-02, 9.7800e-03
 117, 1.6400e-02, 7.5500e-03
 118, 1.6700e-02, 9.0100e-03
 119, 1.5700e-02, 6.6800e-03
 120, 1.3700e-02, 6.7600e-03
 121, 1.3600e-02, 6.4900e-03
 122, 1.0600e-02, 5.8700e-03
 123, 8.7000e-03, 5.4700e-03
 124, 1.0800e-02, 6.4500e-03
 125, 1.6000e-02, 1.1710e-02
 126, 4.4500e-02, 2.4660e-02
 127, 1.3130e-01, 5.2290e-02
 128, 3.7640e-01, 1.4164e-01
 129, 8.8190e-01, 2.7724e-01
 130, 1.7614e+00, 4.4650e-01
 131, 2.7832e+00, 6.0629e-01
 132, 4.1566e+00, 6.7389e-01
 133, 6.2012e+00, 8.1501e-01
 134, 7.7631e+00, 5.9311e-01
 135, 6.8339e+00, 3.8312e-01
 136, 6.6529e+00, 3.1218e-01
 137, 6.2956e+00, 3.8435e-01
 138, 6.7568e+00, 4.7400e-01
 139, 6.3991e+00, 4.2689e-01
 140, 6.0168e+00, 4.4517e-01
 141, 5.5633e+00, 4.0838e-01
 142, 6.0647e+00, 4.7103e-01
 143, 5.6276e+00, 4.1956e-01
 144, 5.2630e+00, 3.8916e-01
 145, 4.1328e+00, 3.5724e-01
 146, 3.1629e+00, 3.0087e-01
 147, 2.3135e+00, 3.1186e-01
 148, 1.7886e+00, 3.0103e-01
 149, 1.1668e+00, 2.5521e-01
 150, 7.1130e-01, 2.1486e-01
 151, 4.3020e-01, 1.4685e-01
 152, 2.6930e-01, 1.2035e-01
 153, 1.5790e-01, 6.5280e-02
 154, 8.6200e-02, 4.2120e-02
 155, 4.0000e-02, 2.5700e-02
 156, 1.7900e-02, 9.2700e-03
 157, 8.2000e-03, 6.6200e-03
 158, 2.1000e-03, 2.1000e-03
 159, 1.1000e-03, 1.1000e-03
 160, 0.0000e+00, 0.0000e+00
 161, 0.0000e+00, 0.0000e+00
  0.0004292 MeV.
  74, 5.0000e-04, 5.0000e-04
  75, 1.0000e-03, 1.0000e-03
  76, 3.9000e-03, 3.9000e-03
  77, 8.4000e-03, 8.4000e-03
  78, 2.3500e-02, 2.3500e-02
  79, 6.2600e-02, 5.6400e-02
  80, 1.3490e-01, 1.1939e-01
  81, 1.9720e-01, 1.5287e-01
  82, 3.1010e-01, 2.3515e-01
  83, 5.0240e-01, 3.1119e-01
  84, 9.0590e-01, 3.8362e-01
  85, 1.3253e+00, 3.6719e-01
  86, 1.9271e+00, 3.3168e-01
  87, 2.5173e+00, 2.5936e-01
  88, 3.7412e+00, 2.8291e-01
  89, 4.7638e+00, 3.2201e-01
  90, 5.6674e+00, 3.7972e-01
  91, 5.7611e+00, 4.7581e-01
  92, 6.1376e+00, 5.4096e-01
  93, 6.0751e+00, 5.3599e-01
  94, 6.9658e+00, 6.3001e-01
  95, 6.5982e+00, 5.9957e-01
  96, 6.3786e+00, 4.4302e-01
  97, 6.0272e+00, 3.5328e-01
  98, 6.3767e+00, 3.1563e-01
  99, 6.2506e+00, 3.9845e-01
 100, 6.3911e+00, 6.7360e-01
 101, 5.2330e+00, 8.0101e-01
