A, Mass Sum Yield, Uncert Total

  2.07e-007 MeV.
 156, 2.4400e-02, 1.8860e-02
 157, 8.4000e-03, 6.2500e-03
 158, 3.0000e-03, 3.0000e-03
 159, 6.0000e-04, 6.0000e-04
 160, 2.0000e-04, 2.0000e-04
 161, 0.0000e+00, 0.0000e+00
 162, 0.0000e+00, 0.0000e+00
  6.516e-005 MeV.
  77, 4.0000e-04, 4.0000e-04
  78, 1.4000e-03, 1.4000e-03
  79, 3.7000e-03, 3.7000e-03
  80, 1.4000e-02, 1.4000e-02
  81, 3.5200e-02, 3.4110e-02
  82, 8.5500e-02, 8.5500e-02
  83, 1.3300e-01, 1.1751e-01
  84, 2.6520e-01, 1.8042e-01
  85, 4.9940e-01, 2.2082e-01
  86, 1.0239e+00, 2.6470e-01
  87, 1.5698e+00, 2.5874e-01
  88, 2.5072e+00, 3.7352e-01
  89, 3.3925e+00, 4.9705e-01
  90, 4.8956e+00, 6.7162e-01
  91, 5.4285e+00, 6.9552e-01
  92, 6.1062e+00, 7.3823e-01
  93, 5.5826e+00, 6.7489e-01
  94, 6.0251e+00, 8.4204e-01
  95, 6.0928e+00, 8.2341e-01
  96, 6.4620e+00, 8.1258e-01
  97, 5.7512e+00, 5.8554e-01
  98, 5.7865e+00, 4.8448e-01
  99, 5.8289e+00, 3.7347e-01
 100, 6.5170e+00, 5.2090e-01
 101, 6.4387e+00, 9.2763e-01
 102, 6.2861e+00, 1.3876e+00
 103, 4.9059e+00, 1.3811e+00
 104, 3.7150e+00, 1.3077e+00
 105, 2.3733e+00, 9.3900e-01
 106, 1.3672e+00, 6.5492e-01
 107, 5.6960e-01, 3.0423e-01
 108, 2.2210e-01, 1.3414e-01
 109, 6.2700e-02, 3.9520e-02
 110, 2.0300e-02, 1.6820e-02
 111, 6.5000e-03, 4.1400e-03
 112, 3.7000e-03, 3.7000e-03
 113, 4.8000e-03, 3.7400e-03
 114, 4.2000e-03, 3.7200e-03
 115, 4.1000e-03, 4.1000e-03
 116, 4.7000e-03, 4.7000e-03
 117, 5.1000e-03, 5.1000e-03
 118, 4.6000e-03, 4.6000e-03
 119, 4.8000e-03, 4.4000e-03
 120, 4.4000e-03, 4.4000e-03
 121, 3.8000e-03, 3.8000e-03
 122, 3.3000e-03, 3.3000e-03
 123, 4.2000e-03, 2.8300e-03
 124, 2.3000e-03, 2.3000e-03
 125, 3.0000e-03, 3.0000e-03
 126, 7.2000e-03, 4.6700e-03
 127, 1.7400e-02, 1.4510e-02
 128, 7.4500e-02, 5.6760e-02
 129, 2.2690e-01, 1.3737e-01
 130, 6.7090e-01, 3.5732e-01
 131, 1.4645e+00, 6.9936e-01
 132, 2.9420e+00, 1.1126e+00
 133, 4.0863e+00, 1.3529e+00
 134, 6.2128e+00, 1.6322e+00
 135, 6.6388e+00, 1.2459e+00
 136, 7.0656e+00, 7.4338e-01
 137, 6.1097e+00, 4.0459e-01
 138, 5.7330e+00, 4.2247e-01
 139, 5.7241e+00, 5.4913e-01
 140, 6.4986e+00, 7.4346e-01
 141, 5.7950e+00, 7.2959e-01
 142, 5.8665e+00, 8.2766e-01
 143, 5.4370e+00, 7.1369e-01
 144, 5.8218e+00, 6.7848e-01
 145, 5.5182e+00, 7.0922e-01
 146, 5.4235e+00, 7.2142e-01
 147, 3.9518e+00, 5.3418e-01
 148, 3.1206e+00, 4.4028e-01
 149, 2.2747e+00, 3.3956e-01
 150, 1.5994e+00, 2.8261e-01
 151, 8.5110e-01, 2.4167e-01
 152, 4.4390e-01, 1.8718e-01
 153, 2.0410e-01, 1.1408e-01
 154, 1.0460e-01, 8.3170e-02
 155, 4.9300e-02, 4.0730e-02
 156, 2.2000e-02, 2.2000e-02
 157, 8.3000e-03, 8.3000e-03
 158, 2.9000e-03, 2.9000e-03
 159, 7.0000e-04, 7.0000e-04
 160, 3.0000e-04, 3.0000e-04
 161, 0.0000e+00, 0.0000e+00
 162, 0.0000e+00, 0.0000e+00
  0.0001883 MeV.
  77, 2.0000e-04, 2.0000e-04
  78, 1.2000e-03, 1.2000e-03
  79, 3.7000e-03, 3.7000e-03
  80, 1.6300e-02, 1.3580e-02
  81, 3.5300e-02, 2.3070e-02
  82, 8.7100e-02, 5.1080e-02
  83, 1.3630e-01, 7.2280e-02
  84, 2.6940e-01, 1.1895e-01
  85, 4.9970e-01, 1.9086e-01
  86, 1.0396e+00, 3.0275e-01
  87, 1.5666e+00, 3.6561e-01
  88, 2.4784e+00, 4.7726e-01
  89, 3.4205e+00, 6.1088e-01
  90, 4.9035e+00, 7.3967e-01
  91, 5.4288e+00, 7.9589e-01
  92, 6.0559e+00, 9.9246e-01
  93, 5.6219e+00, 8.9904e-01
  94, 6.0277e+00, 9.4965e-01
  95, 6.1190e+00, 9.6360e-01
  96, 6.4698e+00, 1.0585e+00
  97, 5.7662e+00, 8.3775e-01
  98, 5.7610e+00, 6.4728e-01
  99, 5.8364e+00, 4.3181e-01
 100, 6.5276e+00, 8.5123e-01
 101, 6.4372e+00, 1.2710e+00
 102, 6.2820e+00, 1.6646e+00
 103, 4.8669e+00, 1.5722e+00
 104, 3.7137e+00, 1.4246e+00
 105, 2.3822e+00, 9.8536e-01
 106, 1.3570e+00, 6.5888e-01
 107, 5.5360e-01, 3.2016e-01
 108, 2.2090e-01, 1.3484e-01
 109, 6.0600e-02, 4.9040e-02
 110, 1.9600e-02, 1.6520e-02
 111, 5.7000e-03, 5.7000e-03
 112, 5.7000e-03, 5.0500e-03
 113, 4.0000e-03, 3.7000e-03
 114, 4.5000e-03, 4.5000e-03
 115, 4.6000e-03, 4.6000e-03
 116, 6.3000e-03, 6.3000e-03
 117, 5.8000e-03, 5.8000e-03
 118, 5.7000e-03, 5.7000e-03
