See original data: 
Section   Material 
and Evaluation Summary 
Interpreted ENDF file 

U-238(FY_cum)U-239,RNP   MAT=9237 MF=8 MT=459   Library: ENDF/B-VIII.0   

(n,FY_cum) Cumulative Fission-Product Yields
Fission-product yields are given for 2 incident neutron energies

Neutron energy =  5.0000E+05

   PRODUCT      ZAFP     FPS           Y          DY
 34-Se- 94    34094.      0.  6.4100E-08  4.1024E-08
 34-Se- 95    34095.      0.  5.9117E-11  3.7835E-11
 34-Se- 96    34096.      0.  2.4700E-11  1.5808E-11
 34-Se- 97    34097.      0.  3.7457E-13  2.3972E-13
 35-Br- 75    35075.      0.  0.0000E+00  0.0000E+00
 35-Br- 77    35077.      0.  0.0000E+00  0.0000E+00
 35-Br- 77-M  35077.      1.  0.0000E+00  0.0000E+00
 35-Br- 78    35078.      0.  0.0000E+00  0.0000E+00
 35-Br- 79    35079.      0.  3.2673E-04  7.5148E-05
 35-Br- 79-M  35079.      1.  5.1100E-13  3.2704E-13
 35-Br- 80    35080.      0.  3.7500E-11  2.4000E-11
 35-Br- 80-M  35080.      1.  2.9300E-11  1.8752E-11
 35-Br- 81    35081.      0.  8.6209E-04  1.9828E-04
 35-Br- 82    35082.      0.  1.2200E-07  7.8080E-08
 35-Br- 82-M  35082.      1.  3.3100E-08  2.1184E-08
 35-Br- 83    35083.      0.  3.9586E-03  2.3751E-04
 35-Br- 84    35084.      0.  8.2238E-03  2.3027E-04
 35-Br- 84-M  35084.      1.  3.1890E-05  2.0410E-05
 35-Br- 85    35085.      0.  7.4282E-03  2.9713E-04
 35-Br- 86    35086.      0.  1.1605E-02  1.2766E-03
 35-Br- 86-M  35086.      1.  9.3044E-04  5.9548E-04
 35-Br- 87    35087.      0.  1.5372E-02  9.2231E-04
 35-Br- 88    35088.      0.  1.4788E-02  3.4013E-03
 35-Br- 89    35089.      0.  1.9438E-02  4.4707E-03
 35-Br- 90    35090.      0.  1.4418E-02  3.3162E-03
 35-Br- 91    35091.      0.  7.7326E-03  3.4797E-03
 35-Br- 92    35092.      0.  2.3586E-03  1.5095E-03
 35-Br- 93    35093.      0.  5.0086E-04  3.2055E-04
 35-Br- 94    35094.      0.  7.9021E-05  5.0573E-05
 35-Br- 95    35095.      0.  1.1380E-06  7.2833E-07
 35-Br- 96    35096.      0.  3.5200E-07  2.2528E-07
 35-Br- 97    35097.      0.  7.2105E-09  4.6147E-09
 35-Br- 98    35098.      0.  9.7999E-11  6.2719E-11
 35-Br- 99    35099.      0.  7.9098E-12  5.0623E-12
 35-Br-100    35100.      0.  1.3795E-13  8.8289E-14
 36-Kr- 77    36077.      0.  0.0000E+00  0.0000E+00
 36-Kr- 78    36078.      0.  0.0000E+00  0.0000E+00
 36-Kr- 79-M  36079.      1.  0.0000E+00  0.0000E+00
 36-Kr- 79    36079.      0.  0.0000E+00  0.0000E+00
 36-Kr- 80    36080.      0.  3.7500E-11  2.4000E-11
 36-Kr- 81    36081.      0.  1.2600E-13  8.0640E-14
 36-Kr- 81-M  36081.      1.  1.5100E-14  9.6641E-15
 36-Kr- 82    36082.      0.  1.2200E-07  7.8080E-08
 36-Kr- 83    36083.      0.  3.9586E-03  5.5420E-05
 36-Kr- 83-M  36083.      1.  3.9586E-03  1.1084E-04
 36-Kr- 84    36084.      0.  8.2558E-03  1.1558E-04
 36-Kr- 85    36085.      0.  1.4861E-03  2.9723E-05
 36-Kr- 85-M  36085.      1.  7.4286E-03  1.4857E-04
 36-Kr- 86    36086.      0.  1.2965E-02  1.2965E-04
 36-Kr- 87    36087.      0.  1.6254E-02  3.2508E-04
 36-Kr- 88    36088.      0.  2.0260E-02  5.6729E-04
 36-Kr- 89    36089.      0.  2.6725E-02  5.3449E-04
 36-Kr- 90    36090.      0.  3.0772E-02  2.4617E-03
 36-Kr- 91    36091.      0.  3.3511E-02  2.0107E-03
 36-Kr- 92    36092.      0.  2.6509E-02  1.5906E-03
 36-Kr- 93    36093.      0.  1.4638E-02  1.1710E-03
 36-Kr- 94    36094.      0.  7.4228E-03  3.3403E-03
 36-Kr- 95    36095.      0.  1.2658E-03  8.1010E-04
 36-Kr- 96    36096.      0.  3.4220E-04  2.1901E-04
 36-Kr- 97    36097.      0.  8.0200E-06  5.1328E-06
